product_id,movement_type,quantity,date
1,IN,150,2024-01-15
1,OUT,8,2024-01-20
1,OUT,6,2024-01-21
1,IN,50,2024-02-01
1,OUT,6,2024-02-07
1,OUT,6,2024-02-19
2,IN,75,2024-01-15
2,OUT,2,2024-01-22
2,OUT,2,2024-02-08
3,IN,50,2024-01-15
3,OUT,2,2024-01-23
3,OUT,2,2024-02-09
4,IN,200,2024-01-15
4,OUT,10,2024-01-24
4,OUT,6,2024-02-10
4,OUT,8,2024-02-22
5,IN,100,2024-01-15
5,OUT,4,2024-01-25
5,OUT,2,2024-02-11
6,IN,300,2024-01-15
6,OUT,20,2024-01-26
6,OUT,30,2024-02-05
6,OUT,16,2024-02-12
6,OUT,24,2024-02-20
7,IN,150,2024-01-15
7,OUT,8,2024-01-27
7,OUT,4,2024-02-13
8,IN,500,2024-01-15
8,OUT,40,2024-01-28
8,OUT,30,2024-02-14
9,IN,100,2024-01-15
9,OUT,6,2024-01-29
9,OUT,4,2024-02-15
10,IN,40,2024-01-15
10,OUT,4,2024-01-30
11,IN,15,2024-01-15
11,OUT,2,2024-01-31
11,OUT,2,2024-02-21
12,IN,8,2024-01-15
13,IN,200,2024-01-15
13,OUT,16,2024-02-01
13,OUT,10,2024-02-16
14,IN,120,2024-01-15
14,OUT,6,2024-02-02
14,OUT,4,2024-02-06
14,OUT,4,2024-02-17
14,OUT,4,2024-02-23
15,IN,150,2024-01-15
15,OUT,12,2024-02-03
15,OUT,8,2024-02-18
