sale_date,product_id,quantity,unit_price,total_amount
2024-01-20,1,2,29.99,59.98
2024-01-21,1,3,29.99,89.97
2024-01-22,2,1,49.99,49.99
2024-01-23,3,1,79.99,79.99
2024-01-24,4,5,34.99,174.95
2024-01-25,5,2,59.99,119.98
2024-01-26,6,10,12.99,129.90
2024-01-27,7,4,18.99,75.96
2024-01-28,8,20,8.99,179.80
2024-01-29,9,3,14.99,44.97
2024-01-30,10,2,24.99,49.98
2024-01-31,11,1,299.99,299.99
2024-02-01,13,8,15.99,127.92
2024-02-02,14,3,24.99,74.97
2024-02-03,15,6,11.99,71.94
2024-02-04,1,1,29.99,29.99
2024-02-05,6,15,12.99,194.85
2024-02-06,14,2,24.99,49.98
2024-02-07,1,2,29.99,59.98
2024-02-08,2,1,49.99,49.99
2024-02-09,3,1,79.99,79.99
2024-02-10,4,3,34.99,104.97
2024-02-11,5,1,59.99,59.99
2024-02-12,6,8,12.99,103.92
2024-02-13,7,2,18.99,37.98
2024-02-14,8,15,8.99,134.85
2024-02-15,9,2,14.99,29.98
2024-02-16,13,5,15.99,79.95
2024-02-17,14,1,24.99,24.99
2024-02-18,15,4,11.99,47.96
2024-02-19,1,3,29.99,89.97
2024-02-20,6,12,12.99,155.88
2024-02-21,11,1,299.99,299.99
2024-02-22,4,4,34.99,139.96
2024-02-23,14,2,24.99,49.98
