day_of_week,month,quantity_sold,avg_price,stock_level
0,1,12,29.99,95
1,1,8,49.99,72
2,1,15,34.99,185
3,1,5,59.99,98
4,1,20,12.99,280
5,1,18,8.99,480
6,1,10,14.99,97
0,1,14,24.99,38
1,1,7,299.99,14
2,1,22,15.99,192
3,1,9,24.99,118
4,1,25,11.99,146
5,1,6,49.99,73
6,1,11,79.99,49
0,2,16,29.99,91
1,2,10,49.99,69
2,2,18,34.99,182
3,2,4,59.99,99
4,2,28,12.99,272
5,2,22,8.99,475
6,2,8,14.99,99
0,2,13,24.99,37
1,2,6,299.99,15
2,2,20,15.99,190
3,2,11,24.99,117
4,2,30,11.99,144
5,2,5,49.99,74
6,2,9,79.99,50
0,3,15,29.99,90
1,3,12,49.99,67
2,3,20,34.99,180
3,3,3,59.99,100
4,3,25,12.99,275
5,3,20,8.99,478
6,3,7,14.99,100
0,3,14,24.99,36
1,3,5,299.99,16
2,3,22,15.99,188
3,3,10,24.99,119
4,3,28,11.99,145
5,3,8,49.99,71
6,3,12,79.99,48
0,3,17,29.99,88
1,3,11,49.99,68
2,3,19,34.99,181
3,3,6,59.99,97
4,3,24,12.99,276
5,3,19,8.99,479
6,3,9,14.99,98
0,3,16,24.99,35
1,3,4,299.99,17
2,3,21,15.99,189
